Run_ID,Task_Type,Mode,Model,Epochs,Batch_Size,LR,Accuracy,Macro_F1,AUC,Off_By_1_Acc,Adj_Error_Ratio,Mid_Confusion_Ratio,MSE,MAE,Train_Time(s),Train_Speed(s/s),Eval_Time(s),Eval_Speed(s/s)
run_005,binary,Regression,distilbert-base-uncased,3,4,1e-05,0.9637,0.9635,N/A,N/A,N/A,N/A,0.0287,0.0543,711.07,134.46,9.06,440.76
run_006,5_class,Regression,distilbert-base-uncased,4,4,1e-05,0.641,0.6403,N/A,0.9745,0.929,0.4252,0.3886,0.4536,1196.2,132.92,11.36,442.48
run_006,binary,Regression,distilbert-base-uncased,4,4,1e-05,0.9634,0.9633,N/A,N/A,N/A,N/A,0.0298,0.0679,951.04,134.05,8.67,460.64
run_007,5_class,Classification,distilbert-base-uncased,3,16,2e-05,0.6312,0.6297,N/A,0.9616,0.8958,0.4166,N/A,N/A,289.92,411.31,2.98,1687.29
run_007,binary,Classification,distilbert-base-uncased,3,16,2e-05,0.9514,0.9513,0.9901,N/A,N/A,N/A,N/A,N/A,232.16,411.85,2.31,1729.16
run_005,3_class,Regression,distilbert-base-uncased,3,4,1e-05,0.8153,0.7665,N/A,N/A,N/A,N/A,0.1688,0.2397,905.47,131.7,11.49,437.27
run_008,5_class,Classification,distilbert-base-uncased,4,16,2e-05,0.6291,0.6259,N/A,0.9604,0.8932,0.4136,N/A,N/A,389.45,408.26,2.96,1699.36
run_007,3_class,Classification,distilbert-base-uncased,3,16,2e-05,0.8086,0.7654,N/A,N/A,N/A,N/A,N/A,N/A,283.58,420.51,2.87,1748.91
run_008,binary,Classification,distilbert-base-uncased,4,16,2e-05,0.9524,0.9523,0.9899,N/A,N/A,N/A,N/A,N/A,319.42,399.12,2.28,1749.68
run_006,3_class,Regression,distilbert-base-uncased,4,4,1e-05,0.8163,0.7682,N/A,N/A,N/A,N/A,0.1672,0.232,1170.68,135.82,10.82,464.27
run_008,3_class,Classification,distilbert-base-uncased,4,16,2e-05,0.8036,0.7584,N/A,N/A,N/A,N/A,N/A,N/A,388.27,409.5,2.9,1733.02
run_009,binary,Classification,distilbert-base-uncased,3,8,2e-05,0.9649,0.9648,0.9938,N/A,N/A,N/A,N/A,N/A,395.27,241.89,4.67,854.7
run_009,5_class,Classification,distilbert-base-uncased,3,8,2e-05,0.6543,0.6536,N/A,0.9735,0.9234,0.4283,N/A,N/A,482.8,247.0,5.69,882.77
run_010,5_class,Classification,distilbert-base-uncased,4,8,2e-05,0.6537,0.6511,N/A,0.9713,0.9172,0.419,N/A,N/A,629.32,252.65,5.58,900.47
run_010,binary,Classification,distilbert-base-uncased,4,8,2e-05,0.9614,0.9613,0.9933,N/A,N/A,N/A,N/A,N/A,522.78,243.86,4.57,873.16
run_010,3_class,Classification,distilbert-base-uncased,3,8,2e-05,0.8203,0.7735,N/A,N/A,N/A,N/A,N/A,N/A,483.17,246.81,5.86,857.96
run_009,3_class,Classification,distilbert-base-uncased,4,8,2e-05,0.8205,0.7761,N/A,N/A,N/A,N/A,N/A,N/A,652.57,243.65,5.72,878.54
run_012,5_class,Classification,distilbert-base-uncased,3,4,2e-05,0.6537,0.6528,N/A,0.9729,0.9218,0.4253,N/A,N/A,897.06,132.93,11.01,456.23
run_011,binary,Classification,distilbert-base-uncased,3,4,2e-05,0.9647,0.9646,0.9946,N/A,N/A,N/A,N/A,N/A,721.14,132.59,8.68,459.98
run_011,5_class,Classification,distilbert-base-uncased,4,4,2e-05,0.6521,0.6499,N/A,0.9686,0.9096,0.4102,N/A,N/A,1184.79,134.2,10.96,458.64
run_012,binary,Classification,distilbert-base-uncased,4,4,2e-05,0.9654,0.9653,0.9946,N/A,N/A,N/A,N/A,N/A,955.68,133.4,8.79,454.04
run_007,5_class,Regression,distilbert-base-uncased,3,16,2e-05,0.6133,0.6155,N/A,0.9672,0.9151,0.4308,0.4396,0.489,287.98,414.1,2.96,1699.21
run_007,binary,Regression,distilbert-base-uncased,3,16,2e-05,0.9517,0.9515,N/A,N/A,N/A,N/A,0.0398,0.0682,237.29,402.93,2.38,1679.31
run_011,3_class,Classification,distilbert-base-uncased,3,4,2e-05,0.8261,0.7836,N/A,N/A,N/A,N/A,N/A,N/A,877.85,135.84,11.13,451.31
run_008,5_class,Regression,distilbert-base-uncased,4,16,2e-05,0.61,0.6112,N/A,0.965,0.9102,0.4296,0.4501,0.4926,380.62,417.74,2.84,1767.35
run_008,binary,Regression,distilbert-base-uncased,4,16,2e-05,0.9474,0.9473,N/A,N/A,N/A,N/A,0.0416,0.0858,318.01,400.88,2.38,1676.77
run_007,3_class,Regression,distilbert-base-uncased,3,16,2e-05,0.798,0.7427,N/A,N/A,N/A,N/A,0.1943,0.261,293.43,406.4,3.01,1668.26
run_008,3_class,Regression,distilbert-base-uncased,4,16,2e-05,0.7992,0.7443,N/A,N/A,N/A,N/A,0.1995,0.2638,380.41,417.97,2.96,1696.55
run_012,3_class,Classification,distilbert-base-uncased,4,4,2e-05,0.8257,0.7826,N/A,N/A,N/A,N/A,N/A,N/A,1213.13,131.07,11.3,444.65
run_009,5_class,Regression,distilbert-base-uncased,3,8,2e-05,0.6406,0.6434,N/A,0.9743,0.9286,0.4252,0.3838,0.4648,473.49,251.85,5.6,897.66
run_009,binary,Regression,distilbert-base-uncased,3,8,2e-05,0.9614,0.9613,N/A,N/A,N/A,N/A,0.0308,0.0587,394.34,242.46,4.63,861.87
run_010,5_class,Regression,distilbert-base-uncased,4,8,2e-05,0.6358,0.6347,N/A,0.9719,0.923,0.4268,0.3946,0.4518,632.64,251.33,5.52,909.72
run_010,binary,Regression,distilbert-base-uncased,4,8,2e-05,0.9614,0.9613,N/A,N/A,N/A,N/A,0.0318,0.0645,518.35,245.94,4.44,898.33
run_009,3_class,Regression,distilbert-base-uncased,3,8,2e-05,0.8185,0.7693,N/A,N/A,N/A,N/A,0.1657,0.2435,469.7,253.88,5.66,888.56
run_010,3_class,Regression,distilbert-base-uncased,4,8,2e-05,0.8163,0.7716,N/A,N/A,N/A,N/A,0.1657,0.2475,650.82,244.31,5.79,868.53
run_011,5_class,Regression,distilbert-base-uncased,3,4,2e-05,0.6454,0.645,N/A,0.9755,0.931,0.4338,0.3762,0.4447,903.02,132.06,11.46,438.4
run_011,binary,Regression,distilbert-base-uncased,3,4,2e-05,0.9642,0.9641,N/A,N/A,N/A,N/A,0.0287,0.0567,714.72,133.78,8.81,453.1
